schemaname,tablename,policyname,permissive,roles,operation,using_expression,check_expression
public,team_members,admins_manage_team_members,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,team_members,users_view_team_members,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,team_settings,admins_manage_team_settings,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,team_settings,users_view_team_settings,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,teams,admins_manage_teams,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,teams,users_view_teams,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
public,time_logs,admins_update_org_time_logs,PERMISSIVE,{public},UPDATE,"((get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])) AND (user_id IN ( SELECT user_profiles.id
   FROM user_profiles
  WHERE (user_profiles.organisation_id = get_my_org()))))","((get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role])) AND (user_id IN ( SELECT user_profiles.id
   FROM user_profiles
  WHERE (user_profiles.organisation_id = get_my_org()))))"
public,time_logs,admins_view_org_time_logs,PERMISSIVE,{public},SELECT,"((get_my_role() = ANY (ARRAY['admin'::user_role, 'finance'::user_role, 'sales'::user_role])) AND (user_id IN ( SELECT user_profiles.id
   FROM user_profiles
  WHERE (user_profiles.organisation_id = get_my_org()))))",null
public,time_logs,workers_manage_own_time_logs,PERMISSIVE,{public},ALL,(user_id = auth.uid()),(user_id = auth.uid())
public,user_profiles,admins_manage_org_profiles,PERMISSIVE,{public},ALL,((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role)),((organisation_id = get_my_org()) AND (get_my_role() = 'admin'::user_role))
public,user_profiles,users_select_own_profile,PERMISSIVE,{public},SELECT,((id = auth.uid()) OR (organisation_id = get_my_org())),null
public,user_profiles,users_update_own_profile,PERMISSIVE,{public},UPDATE,(id = auth.uid()),(id = auth.uid())
public,webhook_logs,Users can view their organisation's webhook logs,PERMISSIVE,{public},SELECT,"(organisation_id IN ( SELECT user_profiles.organisation_id
   FROM user_profiles
  WHERE (user_profiles.id = auth.uid())))",null
public,webhooks,Admins can delete webhooks,PERMISSIVE,{public},DELETE,"(organisation_id IN ( SELECT user_profiles.organisation_id
   FROM user_profiles
  WHERE ((user_profiles.id = auth.uid()) AND (user_profiles.role = 'admin'::user_role))))",null
public,webhooks,Admins can insert webhooks,PERMISSIVE,{public},INSERT,null,"(organisation_id IN ( SELECT user_profiles.organisation_id
   FROM user_profiles
  WHERE ((user_profiles.id = auth.uid()) AND (user_profiles.role = 'admin'::user_role))))"
public,webhooks,Admins can update webhooks,PERMISSIVE,{public},UPDATE,"(organisation_id IN ( SELECT user_profiles.organisation_id
   FROM user_profiles
  WHERE ((user_profiles.id = auth.uid()) AND (user_profiles.role = 'admin'::user_role))))",null
public,webhooks,Users can view their organisation's webhooks,PERMISSIVE,{public},SELECT,"(organisation_id IN ( SELECT user_profiles.organisation_id
   FROM user_profiles
  WHERE (user_profiles.id = auth.uid())))",null
public,workload_assignments,admins_sales_manage_workload,PERMISSIVE,{public},INSERT,null,"((organisation_id = get_my_org()) AND (get_my_role() = ANY (ARRAY['admin'::user_role, 'sales'::user_role])))"
public,workload_assignments,users_view_workload_assignments,PERMISSIVE,{public},SELECT,(organisation_id = get_my_org()),null
